matrix_index,bvn_perms,bvn_cycle,bvn_runtime,bvn_matching,euler_heuristic_depth1_time,euler_heuristic_depth1_cycle,euler_heuristic_depth1_perms,euler_heuristic_depth1_planes,euler_heuristic_depth1_split,euler_heuristic_depth2_time,euler_heuristic_depth2_cycle,euler_heuristic_depth2_perms,euler_heuristic_depth2_planes,euler_heuristic_depth2_split,euler_heuristic_depth3_time,euler_heuristic_depth3_cycle,euler_heuristic_depth3_perms,euler_heuristic_depth3_planes,euler_heuristic_depth3_split,euler_heuristic_depth4_time,euler_heuristic_depth4_cycle,euler_heuristic_depth4_perms,euler_heuristic_depth4_planes,euler_heuristic_depth4_split
0,10037,11247.0,2.651574800023809,wfa,0.8067175999749452,11479.0,10169,2,0.027117399964481592,0.6828547000186518,12004.0,10427,4,0.3360456000082195,1.4508816000306979,12525.0,10738,8,0.042428100015968084,0.19883630005642772,12623.0,10963,16,0.051892300019972026
1,11061,12644.0,1.875886099995114,wfa,0.859448500094004,13311.0,11233,2,0.018452999996952713,0.6662945999996737,13479.0,11507,4,0.029444299987517297,0.30989679996855557,13850.0,11808,8,0.04337530001066625,0.3699686999898404,14184.0,12144,16,0.05671869998332113
2,10409,11838.0,1.647588700056076,wfa,0.8165200999937952,12335.0,10583,2,0.01674799993634224,0.5056575000053272,12458.0,10839,4,0.030895300093106925,0.31986239994876087,12898.0,11097,8,0.05345630005467683,0.15660300001036376,13052.0,11408,16,0.055134200025349855
3,10251,11963.0,1.608400599914603,wfa,0.8066295000026003,12047.0,10397,2,0.015830900054425,0.4440637999214232,12251.0,10621,4,0.03133800008799881,0.2518575000576675,12593.0,10898,8,0.04322330001741648,0.16352760000154376,12729.0,11187,16,0.051631700014695525
4,10526,11985.0,1.6961078000022098,wfa,0.8080696000251919,12044.0,10584,2,0.015757399960421026,0.44927260000258684,12272.0,10770,4,0.03130769997369498,0.26960460003465414,12830.0,11181,8,0.040753699955530465,0.1557415999704972,13126.0,11416,16,0.05043830000795424
5,11330,12958.0,1.754079999984242,wfa,0.8633840000256896,13160.0,11348,2,0.018292900058440864,0.5920157000655308,13652.0,11605,4,0.03542379999998957,0.29471289995126426,13910.0,11994,8,0.05256490001920611,0.2419880999950692,14410.0,12367,16,0.05683020001742989
6,10138,11385.0,1.6117036000359803,wfa,0.791904199984856,11945.0,10310,2,0.01691280002705753,0.44139260007068515,12514.0,10579,4,0.031798999989405274,0.2695339999627322,12681.0,10867,8,0.04275280004367232,0.14026529993861914,12737.0,11090,16,0.05263150006067008
7,10499,11894.0,1.7363908000988886,wfa,0.8122786999447271,12130.0,10620,2,0.017182899988256395,0.45332450000569224,12277.0,10832,4,0.032800299930386245,0.2643218000885099,12902.0,11147,8,0.04672500002197921,0.16940509993582964,13260.0,11450,16,0.05240190005861223
8,10523,11912.0,1.689158400055021,wfa,0.8137158000608906,12081.0,10618,2,0.01647679996676743,0.45344610000029206,12555.0,10848,4,0.0318409000756219,0.2601757999509573,13081.0,11177,8,0.04171619995031506,0.1592580999713391,13288.0,11446,16,0.0535467000445351
9,11148,12704.0,1.7061855000210926,wfa,0.8650769999949262,13045.0,11239,2,0.019237699918448925,0.49735690001398325,13192.0,11427,4,0.03591450001113117,0.27082530001644045,13812.0,11803,8,0.056036400026641786,0.18341389996930957,13985.0,12129,16,0.05648939998354763
